n,cc,y,r,rat,f,d
Mynt,PHL,2015,variant,"Mynt operates GCash in the Philippines—an Ant Group-invested mobile wallet that expanded from payments into micro-lending and financial services, directly replicating the Alipay playbook.",fintech_lending__payments_superapp_lending,mynt.xyz
Ascend Money,THA,2015,variant,Ascend Money (TrueMoney) is an Ant Group-backed e-payment and micro-lending platform in Thailand that acquired a massive wallet user base and cross-sells credit products.,fintech_lending__payments_superapp_lending,ascendmoneygroup.com
One97 Communications,IND,2000,variant,"One97 Communications is the parent of Paytm, India's leading mobile payments super-app that built a massive wallet/QR-payment user base and cross-sells micro-loans (Paytm Postpaid, personal loans, merchant lending) using transaction data—a textbook Ant Group-like model.",fintech_lending__payments_superapp_lending,one97.com
DANA,IDN,2017,variant,"DANA is an Ant Group-backed Indonesian digital wallet that acquired a massive user base via QR/cashless payments and has cross-sold embedded micro-lending (PayLater) using transaction data, directly replicating the Ant Group playbook in Indonesia.",fintech_lending__payments_superapp_lending,dana.id
Momo,VNM,2007,variant,"MoMo is Vietnam's leading mobile e-wallet that acquired a massive user base via payments/transfers and then cross-sold micro-lending, insurance, and other financial products using transaction data—directly replicating the Ant Group super-app playbook.",fintech_lending__payments_superapp_lending,momo.vn
Maya,PHL,2013,variant,"Maya (formerly PayMaya) is a mobile-first digital wallet and payments super-app in the Philippines—backed by Ant Group—that leverages transaction data to cross-sell consumer and merchant micro-credit products within the same app.",fintech_lending__payments_superapp_lending,maya.ph
OVO,IDN,2017,variant,"OVO is Indonesia's leading mobile e-wallet that expanded into consumer micro-lending (OVO PayLater) and other financial services, directly replicating the Ant Group payments-to-lending super-app flywheel in Southeast Asia.",fintech_lending__payments_superapp_lending,ovo.id
MNT-Halan,EGY,2017,variant,"MNT-Halan operates Egypt's leading payments and micro-lending super-app, using its payment rails and transaction data to underwrite micro-credit for underbanked consumers and merchants.",fintech_lending__payments_superapp_lending,mnt-halan.com
BharatPe,IND,2018,variant,"BharatPe acquired millions of merchants via free UPI/POS payment acceptance, then leveraged that transaction data to cross-sell merchant loans and credit lines within the same platform.",fintech_lending__payments_superapp_lending,bharatpe.com
MobiKwik,IND,2009,variant,"MobiKwik is an Indian mobile wallet that built a large payments user base and then layered on digital credit products (ZIP Pay Later, personal loans) underwritten using wallet transaction data.",fintech_lending__payments_superapp_lending,mobikwik.com
