anchor	short_label	count	family_id
Yiguo	Fresh Food E-Commerce	7	ecom_vertical__fresh_food_ecommerce
Just Eat / Grubhub	Restaurant Food Delivery	7	food_delivery_restaurant__marketplace
Chime/N26	Consumer Neobank	6	fintech_neobanking__consumer_neobank
Huimin / Udaan	B2B Small Retailer FMCG	5	b2b_marketplace__small_retailer_fmcg
iTutorGroup	Live Online Tutoring	3	edtech__live_tutoring_platform
Mobileye	ADAS Chip + Software	2	av_robotics__adas_chip_platform
DJI	Autonomous Drone Platform	2	av_robotics__integrated_autonomous_drone_platform
Meicai	B2B Restaurant Supply	2	agritech_foodtech__b2b_restaurant_supply_platform
Solaris	Banking-as-a-Service	2	fintech_infra__banking_as_a_service
CloudKitchens	Cloud Kitchen / Ghost Kitchen	2	food_delivery_restaurant__cloud_kitchen
Zscaler	Cloud SASE / Zero-Trust	2	cybersecurity__cloud_delivered_sase_platform
Peloton	Connected Fitness Hardware	2	dtc_retail__connected_fitness_hardware
Xometry	Custom Manufacturing Marketplace	2	b2b_marketplace__custom_manufacturing
Lemonade	D2C Digital Insurer	2	insurtech__d2c_digital_insurer
Shield AI	Defense AI Platform	2	ai_ml_vertical__defense_ai_platform
Flexport	Digital Freight Forwarding	2	logistics_supply_chain__digital_freight_forwarding
Zocdoc	Doctor Booking Marketplace	2	healthtech__doctor_booking_marketplace
Check Point	Enterprise Network Security	2	cybersecurity__enterprise_network_security_platform
Carta	Equity / Cap Table Mgmt	2	fintech_infra__equity_cap_table_mgmt
Twitch	Game Live Streaming	2	gaming__live_streaming_platform
Wayfair	Home Furnishing E-Commerce	2	ecom_vertical__home_furnishing_ecommerce
Houzz	Home Interior Platform	2	proptech__home_interior_platform
Opendoor	iBuyer / Instant Home Buying	2	proptech__ibuyer
SymBio	In-License Biotech Localizer	2	healthtech_biotech__in_license_develop_local_market
BitGo	Institutional Crypto Custody	2	crypto__institutional_custody
eHealth	Insurance Comparison Marketplace	2	insurtech__insurance_comparison_marketplace
YNAP	Luxury Fashion E-Commerce	2	ecom_vertical__luxury_fashion_ecommerce
Twitter/X	Microblogging Platform	2	social_community__microblogging
Ele.me	Multi-Category On-Demand	2	quick_commerce__multi_category_on_demand_delivery
PayPal	Online Payment Platform	2	fintech_payments__online_payment_platform
Udemy	Open Course Marketplace	2	edtech__open_course_marketplace
MongoDB	OSS Data Infrastructure	2	cloud_infra__oss_data_infrastructure
Airbnb	P2P Short-Term Rental	2	travel_hospitality__p2p_shortterm_rental_marketplace
LinkedIn	Professional Networking	2	hr_workforce__professional_networking_platform
REA Group	Property Listing Portal	2	proptech__property_listing_portal
Tencent	Regional Gaming Ecosystem	2	gaming__regional_gaming_ecosystem
Betterment	Robo-Advisory	2	fintech_neobanking__robo_advisory
TikTok/Douyin	Short-Form Video	2	social_community__short_form_video
Rocket Lab	Smallsat Launch Vehicle	2	space_aerospace__dedicated_smallsat_launch
